"EDR128748";"Textus secundum (1)"
"EDR128651";"Textus secundum (1) "
"EDR128739";"Textus secundum (1)"
"EDR128740";"Textus secundum (1)<br>v. 1: vel f(?) Ascula(?) (CIL 04, 08194b)"
"EDR128752";"Textus secundum (1)"
"EDR128753";"Textus secundum (1)<br>v: 2 ""E"" is written as ""II"""
"EDR128755";"Textus secundum (1)<br>"
"EDR128899";"Textus secundum (1), periit (2)"
"EDR140046";"Textus secundum (1), contulerunt et mensuras prehenderunt Clikeman, Damer, Jepsen, MacDonald (HGP) a. 2016;<br>vv. 1-3: i.e. Denarius datus est Colono; cf. EDR151877."
"EDR140050";"Textus secundum (1), contulerunt Lundqvist, Dollings, Thayer, Crawford, et Toscano (HGP) a. 2014<br>v. 1: aut BUCULUS (1)"
"EDR140054";"Textus secundum (2), contulerunt at mensuras prehenderunt Brewer, Handloser, Helms, Maddy, Nyhuis (HGP) a. 2016.<br>Mensurae verbi FELITER solius sunt - alt.: 4,5; lat. 15,5 (HGP).<br>v. 1: FELITER pro FELICITER<br>v. 1: littera F ictu singulo scripta est; littera T pro malo carinae scripta est. <br>Prope EDR140834 et EDR140835"
"EDR140131";"Textus secundum (1), contulerunt et mensuras prehenderunt Campbell, Hicks, Rasmussen, Rebman (HGP) a. 2014 et a. 2016.<br>v. 1: tectorio lapso AL perierunt (HGP a. 2016)<br>v. 2: tectorio lapso TA perierunt (HGP a. 2016)"
"EDR140145";"Textus et mensurae secundum (1), contulerunt Frampton, Smith, Sypniewski, Weiss et Wells (HGP) a. 2014<br>vv. 1-2: Ciprotti (1) unam N vidit; sola una N videtur a. 2014. <br>v. 1: [&#8008;]&#957;&#941;&#963;&#953;&#956;&#959;&#962; pro &#8008;&#957;&#942;&#963;&#953;&#956;&#959;&#962;<br>v. 2: litterae prima et quinta solae videntur certae lectionis (1)<br>Mensurae sunt:	<br>v. 1: lat.: 8,9; litt. alt.: 0,5-4,7 (1)<br>v. 2: lat.: 5,2; litt. alt.: 0,4-1,9 (1)<br>v. 3: lat. 6,2; litt. alt.: 0,8-1,9 (1)"
"EDR140150";"Textus secundum (1), contulerunt et mensuras prehenderunt Brewer, Handloser, Helms, Maddy, Nyhuis (HGP) a. 2016. <br>Prope EDR140060"
